DATE,MSPUS
2004-01-01,212700
2004-04-01,217600
2004-07-01,213500
2004-10-01,228800
2005-01-01,232500
2005-04-01,233700
2005-07-01,236400
2005-10-01,243600
2006-01-01,247700
2006-04-01,246300
2006-07-01,235600
2006-10-01,245400
2007-01-01,257400
2007-04-01,242200
2007-07-01,241800
2007-10-01,238400
2008-01-01,233900
2008-04-01,235300
2008-07-01,226500
2008-10-01,222500
2009-01-01,208400
2009-04-01,220900
2009-07-01,214300
2009-10-01,219000
2010-01-01,222900
2010-04-01,219500
2010-07-01,224100
2010-10-01,224300
2011-01-01,226900
2011-04-01,228100
2011-07-01,223500
2011-10-01,221100
2012-01-01,238400
2012-04-01,238700
2012-07-01,248800
2012-10-01,251700
2013-01-01,258400
2013-04-01,268100
2013-07-01,264800
2013-10-01,273600
2014-01-01,275200
2014-04-01,288000
2014-07-01,281000
2014-10-01,298900
2015-01-01,289200
2015-04-01,289100
2015-07-01,295800
2015-10-01,302500
2016-01-01,299800
2016-04-01,306000
2016-07-01,303800
2016-10-01,310900
2017-01-01,313100
2017-04-01,318200
2017-07-01,320500.0
2017-10-01,337900.0
2018-01-01,331800.0
2018-04-01,315600.0
2018-07-01,330900.0
2018-10-01,322800.0
2019-01-01,313000.0
